n,regex_pattern
1, YLT
2,^Aether
3,^Amazon Simple Notification Service Agent$
4,^Amazon-Route53-Health-Check-Service
5,^b0t$
6,^bluefish 
7,^Calypso v\/
8,^COMODO DCV
9,^Corax
10,^DangDang
11,^Dart\/[0-9]
12,^DavClnt
13,^DHSH
14,^docker\/[0-9]
15,^Expanse
16,^ExposureScanner
17,^FDM 
18,^git\/
19,^Goose\/
20,^Goosee-Audit
21,^Grabber
22,^Gradle\/
23,^Hello from Palo Alto Networks
24,^HTTPClient\/
25,^HTTPing
26,^Java\/
27,^Jeode\/
28,^Jetty\/
29,^Mail\/
30,^Mget
31,^Microsoft URL Control
32,^Mikrotik\/
33,^Netlab360
34,^NG\/[0-9\.]
35,^NING\/
36,^npm\/
37,^Nuclei
38,^PHP-AYMAPI\/
39,^PHP\/
40,^pip\/
41,^pnpm\/
42,^RMA\/
43,^Ruby|Ruby\/[0-9]
44,^symbolicator\/
45,^Swurl 
46,^TLS tester 
47,^twine\/
48,^ureq
49,^visionheight\.com\/scan
50,^VSE\/[0-9]
51,^WordPress\.com
52,^XRL\/[0-9]
53,^ZmEu
54,008\/
55,1Pilot
56,13TABS
57,192\.comAgent
58,2GDPR\/
59,2ip\.ru
60,404enemy
61,7Siters
62,80legs
63,a3logics\.in
64,A6-Indexer
65,Abonti
66,Aboundex
67,aboutthedomain
68,Accoona-AI-Agent
69,acebookexternalhit\/
70,acme\.sectigo\.com
71,acoon
72,acrylicapps\.com\/pulp
73,Acunetix
74,AdAuth\/
75,adbeat
76,AddThis
77,ADmantX
78,AdminLabs
79,adressendeutschland
80,adreview\/
81,adscanner
82,adstxt-worker
83,Adstxtaggregator
84,adstxt\.com
85,Adyen HttpClient
86,AffiliateLabz\/
87,affilimate-puppeteer
88,agentslug
89,AHC
90,Ahrefs
91,aihit
92,aiohttp\/
93,Airmail
94,akka-http\/
95,akula\/
96,alertra
97,alexa site audit
98,Alibaba\.Security\.Heimdall
99,Alligator
100,allloadin
101,AllSubmitter
102,alyze\.info
103,amagit
104,amphp\/http-client
105,Anarchie
106,AndroidDownloadManager
107,Anemone
108,AngleSharp
109,annotate_google
110,Anthill
111,Anturis Agent
112,Ant\.com
113,AnyEvent-HTTP\/
114,Apache Ant\/
115,Apache Droid
116,Apache OpenOffice
117,Apache-HttpAsyncClient
118,Apache-HttpClient
119,ApacheBench
120,Apexoo
121,apimon\.de
122,APIs-Google
123,AportWorm\/
124,AppBeat\/
125,AppEngine-Google
126,AppleSyndication
127,Aprc\/[0-9]
128,Arachmo
129,arachnode
130,Arachnophilia
131,aria2
132,Arukereso
133,asafaweb
134,Asana\/
135,Ask Jeeves
136,AskQuickly
137,ASPSeek
138,Asterias
139,Astute
140,asynchttp
141,Attach
142,attohttpc
143,autocite
144,AutomaticWPTester
145,Autonomy
146,awin\.com
147,AWS Security Scanner
148,axios\/
149,a\.pr-cy\.ru
150,B-l-i-t-z-B-O-T
151,Backlink-Ceck
152,BacklinkHttpStatus
153,BackStreet
154,BackupLand
155,BackWeb
156,Bad-Neighborhood
157,Badass
158,baidu\.com
159,Bandit
160,Barracuda Sentinel \(EE\)
161,basicstate
162,BatchFTP
163,Battleztar Bazinga
164,baypup\/
165,BazQux
166,BBBike
167,BCKLINKS
168,BDFetch
169,BegunAdvertising
170,Bewica-security-scan
171,Bidtellect
172,BigBozz
173,Bigfoot
174,biglotron
175,BingLocalSearch
176,BingPreview
177,binlar
178,biNu image cacher
179,Bitacle
180,Bitrix link preview
181,biz_Directory
182,BKCTwitterUnshortener\/
183,Black Hole
184,Blackboard Safeassign
185,BlackWidow
186,BlockNote\.Net
187,BlogBridge
188,Bloglines
189,Bloglovin
190,BlogPulseLive
191,BlogSearch
192,Blogtrottr
193,BlowFish
194,boitho\.com-dc
195,Boost\.Beast
196,BPImageWalker
197,Braintree-Webhooks
198,Branch Metrics API
199,Branch-Passthrough
200,Brandprotect
201,Brandwatch
202,Brodie\/
203,Browsershots
204,BUbiNG
205,Buck\/
206,Buddy
207,BuiltWith
208,Bullseye
209,BunnySlippers
210,Burf Search
211,Butterfly\/
212,BuzzSumo
213,CAAM\/[0-9]
214,caam dot crwlr at gmail dot com
215,CakePHP
216,Calculon
217,Canary%20Mail
218,CaretNail
219,catexplorador
220,CC Metadata Scaper
221,Cegbfeieh
222,censys
223,centuryb.o.t9[at]gmail.com
224,Cerberian Drtrs
225,CERT\.at-Statistics-Survey
226,cf-facebook
227,cg-eye
228,changedetection
229,ChangesMeter
230,Charlotte
231,ChatGPT-User
232,chatterino-api-cache
233,CheckHost
234,checkprivacy
235,CherryPicker
236,ChinaClaw
237,Chirp\/
238,chkme\.com
239,Chlooe
240,Chromaxa
241,CirrusExplorer
242,CISPA Vulnerability Notification
243,CISPA Web Analyser
244,Citoid
245,CJNetworkQuality
246,Clarsentia
247,Claude-User
248,claude-web
249,clips\.ua\.ac\.be
250,Cloud mapping
251,CloudEndure
252,CloudFlare-AlwaysOnline
253,Cloudflare-Healthchecks
254,Cloudflare-SSLDetector
255,Cloudinary
256,cmcm\.com
257,coccoc
258,cognitiveseo
259,ColdFusion
260,colly -
261,CommaFeed
262,Commons-HttpClient
263,commonscan
264,contactbigdatafr
265,contentkingapp
266,Contextual Code Sites Explorer
267,convera
268,CookieReports
269,copyright sheriff
270,CopyRightCheck
271,Copyscape
272,cortex\/
273,Cosmos4j\.feedback
274,Covario-IDS
275,Cpanel-HTTP-Client
276,cpp-httplib
277,Craw\/
278,Crescent
279,Criteo
280,Crowsnest
281,CSHttp
282,CSSCheck
283,Cula\/
284,curb
285,Curious George
286,curl
287,cuwhois\/
288,cybo\.com
289,DAP\/NetHTTP
290,DareBoost
291,DatabaseDriverMysqli
292,DataCha0s
293,DatadogSynthetics
294,Datafeedwatch
295,Datanyze
296,DataparkSearch
297,dataprovider
298,DataXu
299,Daum(oa)?[ \/][0-9]
300,dBpoweramp
301,ddline
302,DebugBear$
303,deeris
304,delve\.ai
